vehicle_id,speed,travel_time,waiting_time,distance
anti.463,7.5992,103.0000,0.0000,782.7200
diag.435,6.4157,122.0000,0.0000,782.7200
diag.436,6.4157,122.0000,0.0000,782.7200
diag.437,6.4688,121.0000,0.0000,782.7200
anti.464,7.1156,110.0000,0.0000,782.7200
diag.438,6.5227,120.0000,0.0000,782.7200
anti.465,7.2474,108.0000,0.0000,782.7200
diag.439,6.7476,116.0000,0.0000,782.7200
anti.466,7.1809,109.0000,0.0000,782.7200
anti.467,7.3842,106.0000,0.0000,782.7200
diag.440,6.6899,117.0000,0.0000,782.7200
anti.468,7.3842,106.0000,0.0000,782.7200
diag.441,6.5775,119.0000,0.0000,782.7200
anti.469,7.2474,108.0000,0.0000,782.7200
anti.470,7.3151,107.0000,0.0000,782.7200
